Iteration,Area,BestArea,Temperature
227000,195.5,87,96.4264
228000,160.5,87,95.9454
229000,156.5,87,95.4669
230000,161,87,94.9908
231000,177,87,94.517
232000,153,87,94.0456
233000,157.5,87,93.5765
234000,224,87,93.1098
235000,135.5,87,92.6454
236000,131,87,92.1833
237000,125,87,91.7236
238000,194.5,87,91.2661
239000,127,87,90.8109
240000,186.5,87,90.358
241000,160.5,87,89.9073
242000,133,87,89.4589
243000,158.5,81,89.0127
244000,130,81,88.5688
245000,149,81,88.127
246000,185,81,87.6875
247000,165.5,81,87.2502
248000,181,81,86.815
249000,179,81,86.382
250000,174.5,81,85.9512
251000,156,81,85.5225
252000,193,81,85.0959
253000,156.5,81,84.6715
254000,141,81,84.2492
255000,133.5,81,83.829
256000,135,81,83.4109
257000,144.5,81,82.9949
258000,172.5,81,82.581
259000,148,81,82.1691
260000,211.5,81,81.7593
261000,204.5,81,81.3515
262000,158,81,80.9458
263000,137.5,81,80.542
264000,196.5,81,80.1403
265000,163,81,79.7406
266000,169.5,81,79.3429
267000,143,81,78.9472
268000,131,81,78.5534
269000,176,81,78.1616
270000,193.5,81,77.7718
271000,145.5,81,77.3839
272000,144.5,81,76.998
273000,131.5,81,76.6139
274000,204.5,81,76.2318
275000,185.5,81,75.8516
276000,174.5,81,75.4733
277000,156.5,81,75.0969
278000,148.5,81,74.7223
279000,177,81,74.3497
280000,163,81,73.9788
281000,200,81,73.6099
282000,159.5,81,73.2427
283000,190,81,72.8774
284000,127,81,72.5139
285000,161,81,72.1523
286000,136,81,71.7924
287000,159.5,81,71.4344
288000,155,81,71.0781
289000,141,81,70.7236
290000,187.5,81,70.3708
291000,194.5,81,70.0199
292000,171,81,69.6706
293000,148.5,81,69.3231
294000,191.5,81,68.9774
295000,177,81,68.6334
296000,153.5,81,68.2911
297000,151.5,81,67.9504
298000,206,81,67.6115
299000,187,81,67.2743
300000,160.5,81,66.9388
301000,170,81,66.6049
302000,203.5,81,66.2727
303000,171.5,81,65.9422
304000,199,81,65.6133
305000,205.5,81,65.2861
306000,185,81,64.9605
307000,141,81,64.6365
308000,190.5,81,64.3141
309000,151,81,63.9933
310000,175.5,81,63.6741
311000,150.5,81,63.3566
312000,130,81,63.0406
313000,172,81,62.7262
314000,155,81,62.4133
315000,141.5,81,62.102
316000,116,81,61.7923
317000,160.5,81,61.4841
318000,171,81,61.1774
319000,182,81,60.8723
320000,134,81,60.5687
321000,148.5,81,60.2666
322000,203.5,81,59.966
323000,172.5,81,59.667
324000,97,81,59.3694
325000,171.5,81,59.0733
326000,128.5,81,58.7786
327000,148.5,81,58.4855
328000,166,81,58.1938
329000,189,81,57.9035
330000,152.5,81,57.6147
331000,187.5,81,57.3274
332000,167,81,57.0415
333000,170.5,81,56.757
334000,150,81,56.4739
335000,106,81,56.1922
336000,139,81,55.912
337000,174.5,81,55.6331
338000,178.5,81,55.3556
339000,161.5,81,55.0795
340000,211,81,54.8048
341000,156,81,54.5315
342000,143,81,54.2595
343000,161,81,53.9889
344000,143,81,53.7196
345000,163.5,81,53.4517
346000,210,81,53.1851
347000,213.5,81,52.9198
348000,165.5,81,52.6559
349000,165,81,52.3933
350000,185,81,52.132
351000,149.5,81,51.8719
352000,157.5,81,51.6132
353000,180.5,81,51.3558
354000,147,81,51.0997
