Run,Iteration,Area,BestArea,Temperature
1,1000,216.5,114,297.015
1,2000,160.5,114,294.06
1,3000,214,114,291.134
1,4000,201,114,288.237
1,5000,196,114,285.369
1,6000,150,114,282.529
1,7000,183.5,114,279.718
1,8000,220,114,276.935
1,9000,161.5,114,274.179
1,10000,127,114,271.451
1,11000,218,114,268.75
1,12000,198,114,266.076
1,13000,231,114,263.428
1,14000,201,114,260.807
1,15000,185,114,258.212
1,16000,206,114,255.643
1,17000,212.5,114,253.099
1,18000,192.5,114,250.581
1,19000,136.5,114,248.088
1,20000,244.5,114,245.619
1,21000,240.5,114,243.175
1,22000,238.5,114,240.755
1,23000,148,114,238.36
1,24000,136.5,114,235.988
1,25000,193.5,114,233.64
1,26000,194,114,231.315
1,27000,211.5,114,229.014
1,28000,141.5,114,226.735
1,29000,204.5,114,224.479
1,30000,114,114,222.245
1,31000,200.5,114,220.034
1,32000,173,114,217.844
1,33000,193.5,114,215.677
1,34000,231,114,213.531
1,35000,202.5,114,211.406
1,36000,220,114,209.303
1,37000,128.5,114,207.22
1,38000,165.5,114,205.158
1,39000,244.5,114,203.117
1,40000,222.5,114,201.096
1,41000,173,114,199.095
1,42000,212.5,114,197.114
1,43000,202,114,195.152
1,44000,209.5,114,193.211
1,45000,228,114,191.288
1,46000,125.5,114,189.385
1,47000,212.5,114,187.5
1,48000,119.5,114,185.635
1,49000,218,114,183.787
1,50000,125.5,114,181.959
1,51000,209.5,114,180.148
1,52000,243,114,178.356
1,53000,194,114,176.581
1,54000,214.5,114,174.824
1,55000,164.5,114,173.084
1,56000,217.5,114,171.362
1,57000,219,114,169.657
1,58000,214,114,167.969
1,59000,137.5,114,166.298
1,60000,183,114,164.643
1,61000,137.5,114,163.005
1,62000,233.5,114,161.383
1,63000,148,114,159.777
1,64000,151,114,158.187
1,65000,201,114,156.613
1,66000,209.5,114,155.055
1,67000,205.5,114,153.512
1,68000,178.5,114,151.985
1,69000,200.5,114,150.472
1,70000,194,114,148.975
1,71000,192,114,147.493
1,72000,163.5,114,146.025
1,73000,157,114,144.572
1,74000,210.5,114,143.134
1,75000,222,114,141.709
1,76000,163.5,114,140.299
1,77000,243,114,138.903
1,78000,160.5,114,137.521
1,79000,173,114,136.153
1,80000,252.5,114,134.798
1,81000,221.5,114,133.457
1,82000,230.5,114,132.129
1,83000,243,114,130.814
1,84000,206,114,129.513
1,85000,137.5,114,128.224
1,86000,229,114,126.948
1,87000,192,114,125.685
1,88000,224,114,124.434
1,89000,192.5,114,123.196
1,90000,215,114,121.97
1,91000,125.5,114,120.757
1,92000,191,114,119.555
1,93000,169.5,114,118.366
1,94000,210.5,114,117.188
1,95000,174.5,114,116.022
1,96000,161,114,114.867
1,97000,250.5,114,113.724
1,98000,233,114,112.593
1,99000,205.5,114,111.472
1,100000,151,114,110.363
1,101000,221.5,114,109.265
1,102000,173,114,108.178
1,103000,233,114,107.102
1,104000,134.5,114,106.036
1,105000,141.5,114,104.981
1,106000,179.5,114,103.936
1,107000,221.5,114,102.902
1,108000,193.5,114,101.878
1,109000,239.5,114,100.864
1,110000,201.5,114,99.8608
1,111000,199.5,114,98.8671
1,112000,174.5,114,97.8834
1,113000,170.5,114,96.9094
1,114000,221,114,95.9452
1,115000,136.5,114,94.9905
1,116000,212.5,114,94.0453
1,117000,157,114,93.1095
1,118000,198,114,92.1831
1,119000,200.5,114,91.2658
1,120000,191,114,90.3577
1,121000,212.5,114,89.4586
1,122000,150,114,88.5685
1,123000,216.5,114,87.6872
1,124000,211.5,114,86.8147
1,125000,217.5,114,85.9509
1,126000,183.5,114,85.0957
1,127000,190,114,84.249
1,128000,220,114,83.4107
1,129000,127,114,82.5807
1,130000,168.5,114,81.759
1,131000,141.5,114,80.9455
1,132000,125.5,114,80.1401
1,133000,137.5,114,79.3427
1,134000,114,114,78.5532
1,135000,220,114,77.7716
1,136000,157,114,76.9977
1,137000,210.5,114,76.2316
1,138000,163.5,114,75.473
1,139000,148,114,74.7221
1,140000,195,114,73.9786
1,141000,161,114,73.2425
1,142000,157,114,72.5137
1,143000,150,114,71.7922
1,144000,151,114,71.0778
1,145000,161,114,70.3706
1,146000,196,114,69.6704
1,147000,206,114,68.9771
1,148000,127,114,68.2908
1,149000,137.5,114,67.6113
1,150000,202,114,66.9385
1,151000,219,114,66.2725
1,152000,159.5,114,65.6131
1,153000,148,114,64.9602
1,154000,228,114,64.3138
1,155000,169.5,114,63.6739
1,156000,179.5,114,63.0403
1,157000,141.5,114,62.4131
1,158000,145,114,61.792
1,159000,169.5,114,61.1772
1,160000,141.5,114,60.5685
1,161000,201.5,114,59.9658
1,162000,164.5,114,59.3691
1,163000,238.5,114,58.7784
1,164000,178,114,58.1935
1,165000,119.5,114,57.6145
1,166000,175.5,114,57.0412
1,167000,225,114,56.4736
1,168000,233.5,114,55.9117
1,169000,219,114,55.3554
1,170000,170.5,114,54.8046
1,171000,195,114,54.2593
1,172000,194,114,53.7194
1,173000,169.5,114,53.1849
1,174000,214,114,52.6557
1,175000,183.5,114,52.1317
1,176000,173,114,51.613
1,177000,136.5,114,51.0994
1,178000,192.5,114,50.591
1,179000,219,114,50.0876
1,180000,170.5,114,49.5892
1,181000,161,114,49.0958
1,182000,193.5,114,48.6073
1,183000,151,114,48.1236
1,184000,160.5,114,47.6448
1,185000,168.5,114,47.1707
1,186000,161,114,46.7014
1,187000,164.5,114,46.2367
1,188000,165.5,114,45.7766
1,189000,215,114,45.3211
1,190000,125.5,114,44.8702
1,191000,219,114,44.4237
1,192000,164.5,114,43.9817
1,193000,179.5,114,43.544
1,194000,203,114,43.1108
1,195000,170.5,114,42.6818
1,196000,164.5,114,42.2571
1,197000,125.5,114,41.8366
1,198000,230.5,114,41.4204
1,199000,175.5,114,41.0082
1,200000,183,114,40.6002
1,201000,141.5,114,40.1962
1,202000,151,114,39.7962
1,203000,158.5,114,39.4003
1,204000,173,114,39.0082
1,205000,163.5,114,38.6201
1,206000,174,114,38.2358
1,207000,141.5,114,37.8553
1,208000,202.5,114,37.4787
1,209000,160.5,114,37.1058
1,210000,170.5,114,36.7365
1,211000,137.5,114,36.371
1,212000,195,114,36.0091
1,213000,219,114,35.6508
1,214000,127,114,35.2961
1,215000,211.5,114,34.9449
1,216000,219,114,34.5972
1,217000,134.5,114,34.2529
1,218000,114,114,33.9121
1,219000,175.5,114,33.5747
1,220000,178,114,33.2406
1,221000,173,114,32.9098
1,222000,174.5,114,32.5824
1,223000,145,114,32.2582
1,224000,134.5,114,31.9372
1,225000,127,114,31.6194
1,226000,125.5,114,31.3048
1,227000,136.5,114,30.9933
1,228000,150,114,30.6849
1,229000,150,114,30.3796
1,230000,129.5,114,30.0773
1,231000,159.5,114,29.778
1,232000,114,114,29.4817
1,233000,183,114,29.1884
1,234000,185,114,28.898
1,235000,198,114,28.6104
1,236000,246.5,114,28.3257
1,237000,157,114,28.0439
1,238000,128.5,114,27.7648
1,239000,217.5,114,27.4886
1,240000,168.5,114,27.2151
1,241000,136.5,114,26.9443
1,242000,134.5,114,26.6762
1,243000,119.5,114,26.4107
1,244000,170.5,114,26.1479
1,245000,119.5,114,25.8878
1,246000,125.5,114,25.6302
1,247000,134.5,114,25.3751
1,248000,214.5,114,25.1227
1,249000,129.5,114,24.8727
1,250000,157,114,24.6252
1,251000,128.5,114,24.3802
1,252000,190,114,24.1376
1,253000,114,114,23.8974
1,254000,183,114,23.6596
1,255000,196,114,23.4242
1,256000,129.5,114,23.1911
1,257000,194,114,22.9604
1,258000,114,114,22.7319
1,259000,114,114,22.5057
1,260000,164.5,114,22.2818
1,261000,165.5,114,22.0601
1,262000,137.5,114,21.8406
1,263000,129.5,114,21.6233
1,264000,136.5,114,21.4081
1,265000,114,114,21.1951
1,266000,136.5,114,20.9842
1,267000,127,114,20.7754
1,268000,128.5,114,20.5687
1,269000,129.5,114,20.364
1,270000,129.5,114,20.1614
1,271000,141.5,114,19.9608
1,272000,129.5,114,19.7622
1,273000,157,114,19.5655
1,274000,114,114,19.3708
1,275000,220,114,19.1781
1,276000,177.5,114,18.9873
1,277000,164.5,114,18.7983
1,278000,127,114,18.6113
1,279000,192,114,18.4261
1,280000,125.5,114,18.2428
1,281000,119.5,114,18.0612
1,282000,137.5,114,17.8815
1,283000,136.5,114,17.7036
1,284000,114,114,17.5275
1,285000,134.5,114,17.353
1,286000,128.5,114,17.1804
1,287000,128.5,114,17.0094
1,288000,150,114,16.8402
1,289000,145,114,16.6726
1,290000,114,114,16.5067
1,291000,125.5,114,16.3425
1,292000,177.5,114,16.1799
1,293000,161.5,114,16.0189
1,294000,150,114,15.8595
1,295000,127,114,15.7017
1,296000,114,114,15.5454
1,297000,161,114,15.3908
1,298000,159.5,114,15.2376
1,299000,114,114,15.086
1,300000,127,114,14.9359
1,301000,141.5,114,14.7873
1,302000,119.5,114,14.6401
1,303000,145,114,14.4945
1,304000,119.5,114,14.3502
1,305000,136.5,114,14.2075
1,306000,136.5,114,14.0661
1,307000,141.5,114,13.9261
1,308000,119.5,114,13.7876
1,309000,127,114,13.6504
1,310000,157,114,13.5146
1,311000,114,114,13.3801
1,312000,134.5,114,13.2469
1,313000,174.5,114,13.1151
1,314000,134.5,114,12.9846
1,315000,125.5,114,12.8554
1,316000,125.5,114,12.7275
1,317000,125.5,114,12.6009
1,318000,114,114,12.4755
1,319000,114,114,12.3514
1,320000,125.5,114,12.2285
1,321000,114,114,12.1068
1,322000,114,114,11.9863
1,323000,114,114,11.8671
1,324000,127,114,11.749
1,325000,127,114,11.6321
1,326000,145,114,11.5163
1,327000,125.5,114,11.4017
1,328000,212.5,114,11.2883
1,329000,129.5,114,11.176
1,330000,129.5,114,11.0648
1,331000,128.5,114,10.9547
1,332000,141.5,114,10.8457
1,333000,114,114,10.7378
1,334000,114,114,10.6309
1,335000,125.5,114,10.5251
1,336000,134.5,114,10.4204
1,337000,114,114,10.3167
1,338000,114,114,10.2141
1,339000,125.5,114,10.1124
1,340000,114,114,10.0118
1,341000,177.5,114,9.91219
1,342000,125.5,114,9.81356
1,343000,114,114,9.71592
1,344000,134.5,114,9.61924
1,345000,114,114,9.52353
1,346000,114,114,9.42877
1,347000,127,114,9.33495
1,348000,145,114,9.24206
1,349000,114,114,9.1501
1,350000,114,114,9.05906
1,351000,114,114,8.96892
1,352000,114,114,8.87967
1,353000,125.5,114,8.79132
1,354000,125.5,114,8.70384
1,355000,125.5,114,8.61724
1,356000,114,114,8.5315
1,357000,114,114,8.44661
1,358000,127,114,8.36256
1,359000,127,114,8.27935
1,360000,114,114,8.19697
1,361000,114,114,8.11541
1,362000,114,114,8.03466
1,363000,114,114,7.95471
1,364000,127,114,7.87556
1,365000,125.5,114,7.7972
1,366000,114,114,7.71961
1,367000,114,114,7.6428
1,368000,114,114,7.56675
1,369000,114,114,7.49146
1,370000,114,114,7.41692
1,371000,127,114,7.34312
1,372000,114,114,7.27006
1,373000,127,114,7.19772
1,374000,134.5,114,7.1261
1,375000,125.5,114,7.05519
1,376000,127,114,6.98499
1,377000,127,114,6.91549
1,378000,114,114,6.84668
1,379000,114,114,6.77855
1,380000,114,114,6.7111
1,381000,114,114,6.64433
1,382000,114,114,6.57821
1,383000,114,114,6.51276
1,384000,114,114,6.44796
1,385000,114,114,6.3838
1,386000,114,114,6.32028
1,387000,114,114,6.25739
1,388000,114,114,6.19513
1,389000,114,114,6.13348
1,390000,125.5,114,6.07246
1,391000,114,114,6.01203
1,392000,114,114,5.95221
1,393000,114,114,5.89299
1,394000,114,114,5.83435
1,395000,114,114,5.7763
1,396000,114,114,5.71882
1,397000,114,114,5.66192
1,398000,114,114,5.60558
1,399000,114,114,5.5498
1,400000,114,114,5.49458
1,401000,114,114,5.43991
1,402000,114,114,5.38578
1,403000,114,114,5.33219
1,404000,127,114,5.27914
1,405000,125.5,114,5.22661
1,406000,125.5,114,5.1746
1,407000,127,114,5.12311
1,408000,127,114,5.07214
1,409000,114,114,5.02167
1,410000,114,114,4.9717
1,411000,114,114,4.92223
1,412000,114,114,4.87325
1,413000,114,114,4.82476
1,414000,114,114,4.77676
1,415000,114,114,4.72923
1,416000,114,114,4.68217
1,417000,114,114,4.63558
1,418000,114,114,4.58946
1,419000,114,114,4.54379
1,420000,114,114,4.49858
1,421000,114,114,4.45382
1,422000,114,114,4.4095
1,423000,114,114,4.36562
1,424000,114,114,4.32219
1,425000,114,114,4.27918
1,426000,114,114,4.2366
1,427000,114,114,4.19445
1,428000,114,114,4.15271
1,429000,114,114,4.11139
1,430000,114,114,4.07048
1,431000,114,114,4.02998
1,432000,114,114,3.98988
1,433000,114,114,3.95018
1,434000,114,114,3.91087
1,435000,114,114,3.87196
1,436000,114,114,3.83343
1,437000,114,114,3.79529
1,438000,114,114,3.75753
1,439000,114,114,3.72014
1,440000,114,114,3.68312
1,441000,114,114,3.64647
1,442000,114,114,3.61019
1,443000,114,114,3.57427
1,444000,114,114,3.5387
1,445000,114,114,3.50349
1,446000,114,114,3.46863
1,447000,114,114,3.43412
1,448000,114,114,3.39995
1,449000,114,114,3.36612
1,450000,114,114,3.33262
1,451000,114,114,3.29946
1,452000,114,114,3.26663
1,453000,114,114,3.23413
1,454000,114,114,3.20195
1,455000,114,114,3.17009
1,456000,114,114,3.13855
1,457000,114,114,3.10732
1,458000,114,114,3.0764
1,459000,114,114,3.04579
1,460000,114,114,3.01548
1,461000,114,114,2.98548
1,462000,114,114,2.95577
1,463000,114,114,2.92636
1,464000,114,114,2.89724
1,465000,114,114,2.86841
1,466000,114,114,2.83987
1,467000,114,114,2.81162
1,468000,114,114,2.78364
1,469000,114,114,2.75594
1,470000,114,114,2.72852
1,471000,114,114,2.70137
1,472000,114,114,2.67449
1,473000,114,114,2.64788
1,474000,114,114,2.62153
1,475000,114,114,2.59545
1,476000,114,114,2.56962
1,477000,114,114,2.54405
1,478000,114,114,2.51874
1,479000,114,114,2.49368
1,480000,114,114,2.46886
1,481000,114,114,2.4443
1,482000,114,114,2.41998
