Run,Iteration,Area,BestArea,Temperature
1,1000,151,108.5,970.445
1,2000,139,108.5,941.764
1,3000,184,108.5,913.93
1,4000,177,108.5,886.919
1,5000,178,108.5,860.706
1,6000,224,103.5,835.268
1,7000,158,103.5,810.582
1,8000,218.5,103.5,786.625
1,9000,182,103.5,763.376
1,10000,139.5,103.5,740.815
1,11000,188.5,103.5,718.92
1,12000,181,103.5,697.673
1,13000,195,103.5,677.053
1,14000,159.5,103.5,657.043
1,15000,173.5,103.5,637.624
1,16000,161,103.5,618.779
1,17000,204.5,103.5,600.491
1,18000,190,103.5,582.744
1,19000,159,103.5,565.521
1,20000,184.5,103.5,548.807
1,21000,137.5,103.5,532.587
1,22000,173.5,103.5,516.846
1,23000,196.5,100,501.571
1,24000,182.5,100,486.747
1,25000,172,100,472.361
1,26000,183.5,94,458.401
1,27000,146,91.5,444.853
1,28000,164,91.5,431.705
1,29000,193,91.5,418.946
1,30000,160,91.5,406.564
1,31000,153.5,91.5,394.548
1,32000,215,91.5,382.887
1,33000,186,91.5,371.571
1,34000,208,91.5,360.589
1,35000,160.5,91.5,349.932
1,36000,175.5,91.5,339.59
1,37000,187,91.5,329.553
1,38000,177,91.5,319.814
1,39000,178,91.5,310.361
1,40000,154.5,91.5,301.189
1,41000,204.5,91.5,292.287
1,42000,170.5,91.5,283.649
1,43000,161,91.5,275.265
1,44000,145.5,91.5,267.13
1,45000,195,91.5,259.235
1,46000,155,91.5,251.573
1,47000,209,91.5,244.138
1,48000,153.5,91.5,236.923
1,49000,139.5,91.5,229.92
1,50000,208.5,91.5,223.125
1,51000,145.5,91.5,216.531
1,52000,159.5,91.5,210.131
1,53000,153,91.5,203.921
1,54000,134,91.5,197.894
1,55000,206.5,91.5,192.045
1,56000,133.5,91.5,186.369
1,57000,158.5,91.5,180.861
1,58000,213,91.5,175.516
1,59000,169.5,91.5,170.328
1,60000,231.5,91.5,165.294
1,61000,202.5,91.5,160.409
1,62000,192.5,91.5,155.668
1,63000,192.5,91.5,151.068
1,64000,121.5,91.5,146.603
1,65000,190,91.5,142.27
1,66000,176,91.5,138.065
1,67000,151.5,91.5,133.985
1,68000,182.5,91.5,130.025
1,69000,192.5,91.5,126.182
1,70000,151,91.5,122.453
1,71000,185,91.5,118.833
1,72000,207.5,91.5,115.321
1,73000,180,91.5,111.913
1,74000,213.5,91.5,108.605
1,75000,140.5,91.5,105.396
1,76000,159,91.5,102.281
1,77000,185.5,91.5,99.2578
1,78000,174.5,91.5,96.3243
1,79000,169,91.5,93.4774
1,80000,188.5,91.5,90.7147
1,81000,193,91.5,88.0336
1,82000,160,91.5,85.4318
