Run,Iteration,Area,BestArea,Temperature
1,1000,391,220.5,297.015
1,2000,315.5,215,294.06
1,3000,263,202.5,291.134
1,4000,272.5,197,288.237
1,5000,363,197,285.369
1,6000,315,197,282.529
1,7000,219,197,279.718
1,8000,258,197,276.935
1,9000,297,197,274.179
1,10000,312,197,271.451
1,11000,256,193.5,268.75
1,12000,333,192,266.076
1,13000,256.5,192,263.428
1,14000,258,192,260.807
1,15000,247,187,258.212
1,16000,392.5,187,255.643
1,17000,380.5,178.5,253.099
1,18000,354.5,178.5,250.581
1,19000,404,178.5,248.088
1,20000,282,178.5,245.619
1,21000,263.5,178.5,243.175
1,22000,376.5,178.5,240.755
1,23000,333.5,178,238.36
1,24000,337.5,178,235.988
1,25000,279.5,178,233.64
1,26000,382,178,231.315
1,27000,389,178,229.014
1,28000,370.5,178,226.735
1,29000,381,178,224.479
1,30000,323,178,222.245
1,31000,357,178,220.034
1,32000,349,178,217.844
1,33000,345.5,178,215.677
1,34000,330,178,213.531
1,35000,275.5,178,211.406
1,36000,328,178,209.303
1,37000,295,178,207.22
1,38000,287,178,205.158
1,39000,346,178,203.117
1,40000,416,178,201.096
1,41000,291.5,178,199.095
1,42000,247.5,178,197.114
1,43000,373.5,178,195.152
1,44000,276,178,193.211
1,45000,333,178,191.288
1,46000,350,178,189.385
1,47000,365,178,187.5
1,48000,412,178,185.635
1,49000,336,178,183.787
1,50000,334.5,178,181.959
1,51000,373.5,178,180.148
1,52000,349,178,178.356
1,53000,285.5,178,176.581
1,54000,312.5,178,174.824
1,55000,248,178,173.084
1,56000,402.5,178,171.362
1,57000,332.5,178,169.657
1,58000,255.5,178,167.969
1,59000,335.5,178,166.298
1,60000,317.5,178,164.643
1,61000,333,178,163.005
1,62000,318,178,161.383
1,63000,300.5,174,159.777
1,64000,307,174,158.187
1,65000,302.5,174,156.613
1,66000,379.5,174,155.055
1,67000,383.5,174,153.512
1,68000,313.5,174,151.985
1,69000,375,174,150.472
1,70000,254,174,148.975
1,71000,394,174,147.493
1,72000,293,162.5,146.025
1,73000,345.5,162.5,144.572
1,74000,286,162.5,143.134
1,75000,385,162.5,141.709
1,76000,313.5,162.5,140.299
1,77000,259.5,162.5,138.903
1,78000,317.5,162.5,137.521
1,79000,260,162.5,136.153
1,80000,294.5,162.5,134.798
1,81000,329,162.5,133.457
1,82000,240,162.5,132.129
1,83000,329.5,162.5,130.814
1,84000,361,162.5,129.513
1,85000,266,162.5,128.224
1,86000,272.5,162.5,126.948
1,87000,308.5,162.5,125.685
1,88000,315,162.5,124.434
1,89000,294,162.5,123.196
1,90000,319,162.5,121.97
1,91000,378,162.5,120.757
1,92000,278,162.5,119.555
1,93000,272,162.5,118.366
1,94000,319,162.5,117.188
1,95000,339,162.5,116.022
1,96000,315.5,162.5,114.867
1,97000,311.5,162.5,113.724
1,98000,264.5,162.5,112.593
1,99000,301.5,162.5,111.472
1,100000,328.5,162.5,110.363
1,101000,355.5,162.5,109.265
1,102000,267,162.5,108.178
1,103000,257.5,162.5,107.102
1,104000,407.5,162.5,106.036
1,105000,342,162.5,104.981
1,106000,231,162.5,103.936
1,107000,302,162.5,102.902
1,108000,304.5,162.5,101.878
1,109000,237.5,162.5,100.864
1,110000,368.5,162.5,99.8608
1,111000,314,162.5,98.8671
1,112000,363,162.5,97.8834
1,113000,392.5,162.5,96.9094
1,114000,308,162.5,95.9452
1,115000,262,162.5,94.9905
1,116000,329.5,162.5,94.0453
1,117000,300.5,162.5,93.1095
1,118000,401.5,162.5,92.1831
1,119000,325.5,162.5,91.2658
1,120000,324,162.5,90.3577
1,121000,238.5,162.5,89.4586
1,122000,269,162.5,88.5685
1,123000,253.5,162.5,87.6872
1,124000,337.5,162.5,86.8147
1,125000,304,162.5,85.9509
1,126000,337.5,162.5,85.0957
1,127000,293.5,162.5,84.249
1,128000,314.5,162.5,83.4107
1,129000,242.5,162.5,82.5807
1,130000,215,162.5,81.759
1,131000,308.5,162.5,80.9455
1,132000,336,162.5,80.1401
1,133000,306.5,162.5,79.3427
1,134000,282,162.5,78.5532
1,135000,357,162.5,77.7716
1,136000,228.5,162.5,76.9977
1,137000,216.5,162.5,76.2316
1,138000,262,162.5,75.473
1,139000,304.5,162.5,74.7221
1,140000,347.5,162.5,73.9786
1,141000,357,162.5,73.2425
1,142000,212.5,162.5,72.5137
1,143000,317.5,162.5,71.7922
1,144000,246,162.5,71.0778
1,145000,352.5,162.5,70.3706
1,146000,305.5,162.5,69.6704
1,147000,297.5,162.5,68.9771
1,148000,322.5,162.5,68.2908
1,149000,277,162.5,67.6113
1,150000,262,162.5,66.9385
1,151000,307.5,162.5,66.2725
1,152000,403,162.5,65.6131
1,153000,220,162.5,64.9602
1,154000,310,162.5,64.3138
1,155000,194,162.5,63.6739
1,156000,266,162.5,63.0403
1,157000,259,162.5,62.4131
1,158000,331,162.5,61.792
1,159000,248.5,162.5,61.1772
1,160000,358.5,162.5,60.5685
1,161000,340.5,162.5,59.9658
1,162000,258.5,162.5,59.3691
1,163000,321,162.5,58.7784
1,164000,281.5,162.5,58.1935
1,165000,306.5,162.5,57.6145
1,166000,255,162.5,57.0412
1,167000,269,162.5,56.4736
1,168000,273,162.5,55.9117
1,169000,220.5,162.5,55.3554
1,170000,275.5,162.5,54.8046
1,171000,325,162.5,54.2593
1,172000,257,162.5,53.7194
1,173000,347,162.5,53.1849
1,174000,249,162.5,52.6557
1,175000,314.5,160,52.1317
1,176000,242,160,51.613
1,177000,290,160,51.0994
1,178000,302,160,50.591
1,179000,332.5,160,50.0876
1,180000,240.5,160,49.5892
1,181000,300.5,160,49.0958
1,182000,270.5,160,48.6073
1,183000,237,160,48.1236
1,184000,274,160,47.6448
1,185000,287.5,160,47.1707
1,186000,203.5,160,46.7014
