Run,Iteration,Area,BestArea,Temperature
1,1000,128.5,68,297.015
1,2000,126.5,57,294.06
1,3000,129,57,291.134
1,4000,98,57,288.237
1,5000,113.5,57,285.369
1,6000,100.5,57,282.529
1,7000,99.5,57,279.718
1,8000,99.5,57,276.935
1,9000,121.5,57,274.179
1,10000,147,57,271.451
1,11000,111,57,268.75
1,12000,120,57,266.076
1,13000,104,57,263.428
1,14000,89.5,57,260.807
1,15000,139.5,57,258.212
1,16000,97.5,57,255.643
1,17000,96,57,253.099
1,18000,110.5,57,250.581
1,19000,111,57,248.088
1,20000,100,57,245.619
1,21000,142,57,243.175
1,22000,125,57,240.755
1,23000,100,57,238.36
1,24000,102.5,57,235.988
1,25000,129.5,57,233.64
1,26000,133.5,57,231.315
1,27000,136,57,229.014
1,28000,101,57,226.735
1,29000,113.5,56.5,224.479
1,30000,100.5,56.5,222.245
1,31000,124.5,56.5,220.034
1,32000,136.5,56.5,217.844
1,33000,90,56.5,215.677
1,34000,95,56.5,213.531
1,35000,115.5,56.5,211.406
1,36000,113.5,56.5,209.303
1,37000,114,56.5,207.22
1,38000,113.5,56.5,205.158
1,39000,95.5,56.5,203.117
1,40000,127,56.5,201.096
1,41000,136,56.5,199.095
1,42000,111.5,56.5,197.114
1,43000,102.5,56.5,195.152
1,44000,97.5,56.5,193.211
1,45000,104.5,56.5,191.288
1,46000,103.5,56.5,189.385
1,47000,97,56.5,187.5
1,48000,101.5,56.5,185.635
1,49000,115,56.5,183.787
1,50000,100,56.5,181.959
1,51000,116.5,56.5,180.148
1,52000,130.5,56.5,178.356
1,53000,138,56.5,176.581
1,54000,88.5,56.5,174.824
1,55000,132.5,56.5,173.084
1,56000,134,56.5,171.362
1,57000,111,56.5,169.657
1,58000,69.5,56.5,167.969
1,59000,128.5,56.5,166.298
1,60000,97.5,56.5,164.643
1,61000,127.5,56.5,163.005
1,62000,115,56.5,161.383
1,63000,75.5,56.5,159.777
1,64000,129.5,56.5,158.187
1,65000,108,56.5,156.613
1,66000,138.5,56.5,155.055
1,67000,93,56.5,153.512
1,68000,94.5,56.5,151.985
1,69000,119.5,56.5,150.472
1,70000,100,56.5,148.975
1,71000,112.5,56.5,147.493
1,72000,94.5,56.5,146.025
1,73000,104,56.5,144.572
1,74000,100,56.5,143.134
1,75000,133.5,56.5,141.709
1,76000,104.5,56.5,140.299
1,77000,129,56.5,138.903
1,78000,125.5,56.5,137.521
1,79000,107.5,56.5,136.153
1,80000,104.5,56.5,134.798
1,81000,112,56.5,133.457
1,82000,131.5,56.5,132.129
1,83000,129,56.5,130.814
1,84000,128.5,56.5,129.513
1,85000,108.5,56.5,128.224
1,86000,115,56.5,126.948
1,87000,100,56.5,125.685
1,88000,124.5,56.5,124.434
1,89000,129,56.5,123.196
1,90000,80.5,56.5,121.97
1,91000,121,56.5,120.757
1,92000,79.5,56.5,119.555
1,93000,122,56.5,118.366
