Run,Iteration,Area,BestArea,Temperature
1,1000,228,119,297.015
1,2000,236.5,119,294.06
1,3000,287.5,116.5,291.134
1,4000,234.5,116.5,288.237
1,5000,242.5,116.5,285.369
1,6000,260,116.5,282.529
1,7000,281,115.5,279.718
1,8000,252.5,115.5,276.935
1,9000,200,115.5,274.179
1,10000,279,115.5,271.451
1,11000,210,115.5,268.75
1,12000,270.5,115.5,266.076
1,13000,188,115.5,263.428
1,14000,205.5,115.5,260.807
1,15000,279.5,115.5,258.212
1,16000,261,115.5,255.643
1,17000,287,114.5,253.099
1,18000,282.5,109,250.581
1,19000,271,108,248.088
1,20000,215,108,245.619
1,21000,139,108,243.175
1,22000,140.5,108,240.755
1,23000,221.5,108,238.36
1,24000,263.5,108,235.988
1,25000,218,108,233.64
1,26000,250,108,231.315
1,27000,132.5,108,229.014
1,28000,284.5,108,226.735
1,29000,184.5,108,224.479
1,30000,237.5,103.5,222.245
1,31000,231.5,103.5,220.034
1,32000,230.5,99,217.844
1,33000,167.5,93.5,215.677
1,34000,228,93.5,213.531
1,35000,206.5,93.5,211.406
1,36000,246.5,93.5,209.303
1,37000,275.5,83,207.22
1,38000,206.5,83,205.158
1,39000,267.5,83,203.117
1,40000,201.5,83,201.096
1,41000,207,83,199.095
1,42000,184,83,197.114
1,43000,166,83,195.152
1,44000,173,83,193.211
1,45000,214.5,83,191.288
1,46000,240,83,189.385
1,47000,272.5,83,187.5
1,48000,156.5,83,185.635
1,49000,190.5,83,183.787
1,50000,274.5,83,181.959
1,51000,232,83,180.148
1,52000,222,83,178.356
1,53000,205,83,176.581
1,54000,261.5,83,174.824
1,55000,235,83,173.084
1,56000,176,83,171.362
1,57000,293,83,169.657
1,58000,283,83,167.969
1,59000,247,83,166.298
1,60000,198.5,83,164.643
1,61000,275.5,83,163.005
1,62000,277.5,83,161.383
1,63000,281,83,159.777
1,64000,239.5,83,158.187
1,65000,135,83,156.613
1,66000,150,83,155.055
1,67000,198.5,83,153.512
1,68000,236.5,83,151.985
1,69000,191.5,83,150.472
1,70000,214.5,83,148.975
1,71000,261,83,147.493
1,72000,308,83,146.025
1,73000,248.5,83,144.572
1,74000,236,83,143.134
1,75000,221.5,83,141.709
1,76000,251.5,83,140.299
1,77000,297,83,138.903
1,78000,210,83,137.521
1,79000,174.5,83,136.153
1,80000,207,83,134.798
1,81000,137,83,133.457
1,82000,214,83,132.129
1,83000,195,83,130.814
1,84000,146,83,129.513
1,85000,266,83,128.224
1,86000,202,83,126.948
1,87000,193,83,125.685
1,88000,247,83,124.434
1,89000,228,83,123.196
1,90000,202.5,83,121.97
1,91000,201.5,83,120.757
1,92000,287.5,83,119.555
1,93000,269.5,83,118.366
1,94000,254,83,117.188
1,95000,213,83,116.022
